index,s_m,phase,theta_deg,x_m,y_m,z_m,rx,ry,rz,pivot_x_m,pivot_y_m,pivot_z_m
1040,0.419355,0.4194,3.8710,0.499002,0.119355,0.580168,-0.126526,0.191201,-1.610215,0.501982,0.118677,0.594853
1041,0.419758,0.4698,1.4516,0.499624,0.119758,0.580055,-0.092444,0.158580,-1.611488,0.501982,0.119080,0.594853
1042,0.420161,0.5202,-0.9677,0.500251,0.120161,0.579969,-0.058373,0.125945,-1.612236,0.501982,0.119484,0.594853
1043,0.420565,0.5706,-3.3871,0.500881,0.120565,0.579909,-0.024313,0.093299,-1.612458,0.501982,0.119887,0.594853
1044,0.420968,0.6210,-5.8065,0.501513,0.120968,0.579876,0.009730,0.060645,-1.612155,0.501982,0.120290,0.594853
1045,0.421371,0.6714,-8.2258,0.502145,0.121371,0.579869,0.043756,0.027986,-1.611327,0.501982,0.120693,0.594853
1046,0.421774,0.7218,-10.6452,0.502778,0.121774,0.579890,0.077760,-0.004675,-1.609975,0.501982,0.121096,0.594853
1047,0.422177,0.7722,-10.9355,0.502854,0.122177,0.579894,0.081839,-0.008595,-1.609778,0.501982,0.121500,0.594853
1048,0.422581,0.8226,-8.5161,0.502221,0.122581,0.579870,0.047837,0.024067,-1.611193,0.501982,0.121903,0.594853
1049,0.422984,0.8730,-6.0968,0.501589,0.122984,0.579874,0.013814,0.056726,-1.612083,0.501982,0.122306,0.594853
1050,0.423387,0.9234,-3.6774,0.500957,0.123387,0.579903,-0.020227,0.089381,-1.612449,0.501982,0.122709,0.594853
1051,0.423790,0.9738,-1.2581,0.500327,0.123790,0.579960,-0.054285,0.122028,-1.612290,0.501982,0.123113,0.594853
1052,0.424194,0.0242,1.1613,0.499699,0.124194,0.580043,-0.088355,0.154664,-1.611606,0.501982,0.123516,0.594853
1053,0.424597,0.0746,3.5806,0.499076,0.124597,0.580153,-0.122436,0.187287,-1.610395,0.501982,0.123919,0.594853
1054,0.425000,0.1250,6.0000,0.498458,0.125000,0.580289,-0.156523,0.219895,-1.608658,0.501982,0.124322,0.594853
1055,0.425403,0.1754,8.4194,0.497847,0.125403,0.580450,-0.190615,0.252483,-1.606393,0.501982,0.124725,0.594853
1056,0.425806,0.2258,10.8387,0.497242,0.125806,0.580638,-0.224708,0.285050,-1.603599,0.501982,0.125129,0.594853
1057,0.426210,0.2762,10.7419,0.497266,0.126210,0.580630,-0.223345,0.283748,-1.603721,0.501982,0.125532,0.594853
1058,0.426613,0.3266,8.3226,0.497871,0.126613,0.580443,-0.189251,0.251180,-1.606494,0.501982,0.125935,0.594853
1059,0.427016,0.3770,5.9032,0.498483,0.127016,0.580283,-0.155160,0.218591,-1.608738,0.501982,0.126338,0.594853
1060,0.427419,0.4274,3.4839,0.499101,0.127419,0.580148,-0.121072,0.185983,-1.610454,0.501982,0.126742,0.594853
1061,0.427823,0.4778,1.0645,0.499724,0.127823,0.580039,-0.086992,0.153359,-1.611643,0.501982,0.127145,0.594853
