index,pivot_line_dev_mm,z_through_o_err_mm
502,0.0000,0.0009
503,0.0000,0.0007
504,0.0000,0.0004
505,0.0000,0.0004
506,0.0000,0.0005
507,0.0000,0.0008
508,0.0000,0.0007
509,0.0000,0.0004
510,0.0000,0.0004
511,0.0000,0.0008
512,0.0000,0.0003
513,0.0000,0.0006
514,0.0000,0.0002
515,0.0000,0.0008
516,0.0000,0.0004
517,0.0000,0.0004
518,0.0000,0.0006
519,0.0000,0.0005
520,0.0000,0.0008
521,0.0000,0.0005
522,0.0000,0.0004
523,0.0000,0.0005
524,0.0000,0.0008
525,0.0000,0.0006
526,0.0000,0.0005
527,0.0000,0.0005
528,0.0000,0.0004
529,0.0000,0.0010
530,0.0000,0.0005
531,0.0000,0.0003
532,0.0000,0.0004
533,0.0000,0.0008
534,0.0000,0.0003
535,0.0000,0.0004
536,0.0000,0.0006
537,0.0000,0.0006
538,0.0000,0.0008
539,0.0000,0.0005
540,0.0000,0.0006
541,0.0000,0.0005
542,0.0000,0.0009
543,0.0000,0.0006
544,0.0000,0.0004
545,0.0000,0.0005
546,0.0000,0.0009
547,0.0000,0.0003
548,0.0000,0.0004
549,0.0000,0.0006
550,0.0000,0.0006
551,0.0000,0.0009
552,0.0000,0.0006
553,0.0000,0.0006
554,0.0000,0.0005
555,0.0000,0.0009
556,0.0000,0.0005
557,0.0000,0.0005
558,0.0000,0.0007
559,0.0000,0.0004
560,0.0000,0.0010
561,0.0000,0.0006
562,0.0000,0.0003
563,0.0000,0.0005
564,0.0000,0.0008
565,0.0000,0.0006
566,0.0000,0.0004
567,0.0000,0.0004
568,0.0000,0.0003
569,0.0000,0.0009
570,0.0000,0.0003
571,0.0000,0.0004
572,0.0000,0.0003
573,0.0000,0.0010
574,0.0000,0.0004
575,0.0000,0.0005
576,0.0000,0.0005
577,0.0000,0.0008
578,0.0000,0.0004
579,0.0000,0.0007
580,0.0000,0.0005
581,0.0000,0.0005
582,0.0000,0.0009
583,0.0000,0.0006
584,0.0000,0.0007
585,0.0000,0.0006
586,0.0000,0.0010
587,0.0000,0.0004
588,0.0000,0.0005
589,0.0000,0.0003
590,0.0000,0.0005
591,0.0000,0.0010
592,0.0000,0.0004
593,0.0000,0.0005
594,0.0000,0.0004
595,0.0000,0.0009
596,0.0000,0.0007
597,0.0000,0.0004
598,0.0000,0.0005
599,0.0000,0.0007
600,0.0000,0.0008
601,0.0000,0.0003
602,0.0000,0.0002
603,0.0000,0.0005
604,0.0000,0.0008
605,0.0000,0.0003
606,0.0000,0.0005
607,0.0000,0.0005
608,0.0000,0.0010
609,0.0000,0.0005
610,0.0000,0.0004
611,0.0000,0.0005
612,0.0000,0.0006
613,0.0000,0.0010
614,0.0000,0.0004
615,0.0000,0.0004
616,0.0000,0.0006
617,0.0000,0.0009
618,0.0000,0.0002
619,0.0000,0.0004
620,0.0000,0.0005
621,0.0000,0.0004
622,0.0000,0.0008
623,0.0000,0.0004
624,0.0000,0.0006
625,0.0000,0.0004
626,0.0000,0.0008
627,0.0000,0.0006
628,0.0000,0.0006
629,0.0000,0.0005
630,0.0000,0.0004
631,0.0000,0.0009
632,0.0000,0.0006
633,0.0000,0.0005
634,0.0000,0.0005
635,0.0000,0.0008
636,0.0000,0.0004
637,0.0000,0.0005
638,0.0000,0.0002
639,0.0000,0.0008
640,0.0000,0.0003
641,0.0000,0.0007
642,0.0000,0.0005
643,0.0000,0.0004
644,0.0000,0.0010
645,0.0000,0.0005
646,0.0000,0.0004
647,0.0000,0.0005
648,0.0000,0.0009
649,0.0000,0.0006
650,0.0000,0.0005
651,0.0000,0.0003
652,0.0000,0.0005
653,0.0000,0.0008
654,0.0000,0.0007
655,0.0000,0.0006
656,0.0000,0.0007
657,0.0000,0.0010
658,0.0000,0.0006
659,0.0000,0.0005
660,0.0000,0.0005
661,0.0000,0.0007
662,0.0000,0.0009
663,0.0000,0.0004
664,0.0000,0.0005
665,0.0000,0.0005
666,0.0000,0.0009
667,0.0000,0.0007
668,0.0000,0.0003
669,0.0000,0.0004
670,0.0000,0.0008
671,0.0000,0.0005
672,0.0000,0.0003
673,0.0000,0.0004
674,0.0000,0.0004
675,0.0000,0.0010
676,0.0000,0.0003
677,0.0000,0.0005
678,0.0000,0.0003
679,0.0000,0.0010
680,0.0000,0.0006
681,0.0000,0.0004
682,0.0000,0.0007
683,0.0000,0.0005
684,0.0000,0.0009
685,0.0000,0.0004
686,0.0000,0.0005
687,0.0000,0.0006
688,0.0000,0.0009
689,0.0000,0.0004
690,0.0000,0.0006
691,0.0000,0.0006
692,0.0000,0.0004
693,0.0000,0.0008
694,0.0000,0.0005
695,0.0000,0.0005
696,0.0000,0.0004
697,0.0000,0.0010
698,0.0000,0.0005
699,0.0000,0.0005
700,0.0000,0.0006
701,0.0000,0.0009
702,0.0000,0.0003
703,0.0000,0.0006
704,0.0000,0.0006
705,0.0000,0.0004
706,0.0000,0.0008
707,0.0000,0.0003
708,0.0000,0.0004
709,0.0000,0.0003
710,0.0000,0.0009
711,0.0000,0.0006
712,0.0000,0.0004
713,0.0000,0.0005
714,0.0000,0.0005
715,0.0000,0.0010
716,0.0000,0.0004
717,0.0000,0.0005
718,0.0000,0.0004
719,0.0000,0.0009
720,0.0000,0.0003
721,0.0000,0.0005
722,0.0000,0.0006
723,0.0000,0.0004
724,0.0000,0.0009
725,0.0000,0.0002
726,0.0000,0.0002
727,0.0000,0.0006
728,0.0000,0.0008
729,0.0000,0.0003
730,0.0000,0.0004
731,0.0000,0.0004
732,0.0000,0.0010
733,0.0000,0.0003
734,0.0000,0.0005
735,0.0000,0.0004
736,0.0000,0.0004
737,0.0000,0.0010
738,0.0000,0.0005
739,0.0000,0.0003
740,0.0000,0.0007
741,0.0000,0.0010
742,0.0000,0.0004
743,0.0000,0.0003
744,0.0000,0.0002
745,0.0000,0.0005
746,0.0000,0.0008
747,0.0000,0.0007
748,0.0000,0.0003
749,0.0000,0.0006
750,0.0000,0.0010
751,0.0000,0.0003
752,0.0000,0.0006
753,0.0000,0.0005
754,0.0000,0.0003
755,0.0000,0.0008
756,0.0000,0.0003
757,0.0000,0.0007
758,0.0000,0.0005
759,0.0000,0.0009
760,0.0000,0.0004
761,0.0000,0.0005
762,0.0000,0.0005
763,0.0000,0.0010
764,0.0000,0.0005
765,0.0000,0.0005
766,0.0000,0.0003
767,0.0000,0.0005
768,0.0000,0.0008
769,0.0000,0.0005
770,0.0000,0.0006
771,0.0000,0.0005
772,0.0000,0.0009
773,0.0000,0.0004
774,0.0000,0.0004
775,0.0000,0.0005
776,0.0000,0.0005
777,0.0000,0.0008
778,0.0000,0.0005
779,0.0000,0.0006
780,0.0000,0.0005
781,0.0000,0.0010
782,0.0000,0.0004
783,0.0000,0.0005
784,0.0000,0.0005
785,0.0000,0.0006
786,0.0000,0.0009
787,0.0000,0.0003
788,0.0000,0.0005
789,0.0000,0.0004
790,0.0000,0.0008
791,0.0000,0.0005
792,0.0000,0.0004
793,0.0000,0.0005
794,0.0000,0.0010
795,0.0000,0.0002
796,0.0000,0.0006
797,0.0000,0.0005
798,0.0000,0.0006
799,0.0000,0.0009
800,0.0000,0.0005
801,0.0000,0.0006
802,0.0000,0.0006
803,0.0000,0.0009
804,0.0000,0.0006
805,0.0000,0.0006
806,0.0000,0.0006
807,0.0000,0.0003
808,0.0000,0.0009
809,0.0000,0.0003
810,0.0000,0.0006
811,0.0000,0.0003
812,0.0000,0.0009
813,0.0000,0.0005
